STAT-00108 | -0.7380 | -0.0119 | 79.5295 | LOCAL_MINIMA_BOTTLENECK_HAZARD | TRIGGER_DYNAMIC_VELOCITY_BURST_KICK | 422
STAT-00109 | -0.7344 | -0.0048 | 9.6319 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00110 | -0.7320 | 0.0033 | 23.3349 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00111 | -0.7310 | 0.0094 | 10.9185 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00112 | -0.7314 | 0.0114 | 31.7604 | LOCAL_MINIMA_BOTTLENECK_HAZARD | TRIGGER_DYNAMIC_VELOCITY_BURST_KICK | 422
STAT-00113 | -0.7331 | 0.0091 | 34.5806 | LOCAL_MINIMA_BOTTLENECK_HAZARD | TRIGGER_DYNAMIC_VELOCITY_BURST_KICK | 422
STAT-00114 | -0.7356 | 0.0036 | 60.5779 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00115 | -0.7384 | -0.0026 | 26.6960 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00116 | -0.7411 | -0.0073 | 57.9538 | LOCAL_MINIMA_BOTTLENECK_HAZARD | TRIGGER_DYNAMIC_VELOCITY_BURST_KICK | 422
STAT-00117 | -0.7431 | -0.0088 | 26.6857 | LOCAL_MINIMA_BOTTLENECK_HAZARD | TRIGGER_DYNAMIC_VELOCITY_BURST_KICK | 422
STAT-00118 | -0.7443 | -0.0069 | 81.7948 | LOCAL_MINIMA_BOTTLENECK_HAZARD | TRIGGER_DYNAMIC_VELOCITY_BURST_KICK | 422
STAT-00119 | -0.7445 | -0.0027 | 35.0379 | LOCAL_MINIMA_BOTTLENECK_HAZARD | TRIGGER_DYNAMIC_VELOCITY_BURST_KICK | 422
STAT-00120 | -0.7437 | 0.0021 | 25.9639 | LOCAL_MINIMA_BOTTLENECK_HAZARD | TRIGGER_DYNAMIC_VELOCITY_BURST_KICK | 422
STAT-00121 | -0.7423 | 0.0056 | 26.1888 | LOCAL_MINIMA_BOTTLENECK_HAZARD | TRIGGER_DYNAMIC_VELOCITY_BURST_KICK | 422
STAT-00122 | -0.7404 | 0.0068 | 36.8738 | LOCAL_MINIMA_BOTTLENECK_HAZARD | TRIGGER_DYNAMIC_VELOCITY_BURST_KICK | 422
STAT-00123 | -0.7385 | 0.0053 | 62.7609 | LOCAL_MINIMA_BOTTLENECK_HAZARD | TRIGGER_DYNAMIC_VELOCITY_BURST_KICK | 422
STAT-00124 | -0.7369 | 0.0020 | 18.9450 | LOCAL_MINIMA_BOTTLENECK_HAZARD | TRIGGER_DYNAMIC_VELOCITY_BURST_KICK | 422
STAT-00125 | -0.7358 | -0.0017 | 25.4489 | LOCAL_MINIMA_BOTTLENECK_HAZARD | TRIGGER_DYNAMIC_VELOCITY_BURST_KICK | 422
STAT-00126 | -0.7354 | -0.0044 | 4.5819 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00127 | -0.7356 | -0.0052 | 19.9569 | LOCAL_MINIMA_BOTTLENECK_HAZARD | TRIGGER_DYNAMIC_VELOCITY_BURST_KICK | 422
STAT-00128 | -0.7364 | -0.0040 | 66.8229 | LOCAL_MINIMA_BOTTLENECK_HAZARD | TRIGGER_DYNAMIC_VELOCITY_BURST_KICK | 422
STAT-00129 | -0.7376 | -0.0015 | 85.6430 | LOCAL_MINIMA_BOTTLENECK_HAZARD | TRIGGER_DYNAMIC_VELOCITY_BURST_KICK | 422
STAT-00130 | -0.7388 | 0.0013 | 34.5640 | LOCAL_MINIMA_BOTTLENECK_HAZARD | TRIGGER_DYNAMIC_VELOCITY_BURST_KICK | 422
STAT-00131 | -0.7400 | 0.0034 | 30.5279 | LOCAL_MINIMA_BOTTLENECK_HAZARD | TRIGGER_DYNAMIC_VELOCITY_BURST_KICK | 422
STAT-00132 | -0.7410 | 0.0040 | 39.8499 | LOCAL_MINIMA_BOTTLENECK_HAZARD | TRIGGER_DYNAMIC_VELOCITY_BURST_KICK | 422
STAT-00133 | -0.7415 | 0.0031 | 70.9239 | LOCAL_MINIMA_BOTTLENECK_HAZARD | TRIGGER_DYNAMIC_VELOCITY_BURST_KICK | 422
STAT-00134 | -0.7415 | 0.0011 | 1.3780 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00135 | -0.7412 | -0.0010 | 49.3630 | LOCAL_MINIMA_BOTTLENECK_HAZARD | TRIGGER_DYNAMIC_VELOCITY_BURST_KICK | 422
STAT-00136 | -0.7405 | -0.0026 | 7.2309 | LOCAL_MINIMA_BOTTLENECK_HAZARD | TRIGGER_DYNAMIC_VELOCITY_BURST_KICK | 422
STAT-00137 | -0.7397 | -0.0031 | 18.3249 | LOCAL_MINIMA_BOTTLENECK_HAZARD | TRIGGER_DYNAMIC_VELOCITY_BURST_KICK | 422
STAT-00138 | -0.7388 | -0.0023 | 20.3470 | LOCAL_MINIMA_BOTTLENECK_HAZARD | TRIGGER_DYNAMIC_VELOCITY_BURST_KICK | 422
STAT-00139 | -0.7381 | -0.0008 | 2.4250 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00140 | -0.7376 | 0.0008 | 80.3810 | LOCAL_MINIMA_BOTTLENECK_HAZARD | TRIGGER_DYNAMIC_VELOCITY_BURST_KICK | 422
STAT-00141 | -0.7374 | 0.0020 | 25.9940 | LOCAL_MINIMA_BOTTLENECK_HAZARD | TRIGGER_DYNAMIC_VELOCITY_BURST_KICK | 422
STAT-00142 | -0.7375 | 0.0024 | 60.7850 | LOCAL_MINIMA_BOTTLENECK_HAZARD | TRIGGER_DYNAMIC_VELOCITY_BURST_KICK | 422
STAT-00143 | -0.7379 | 0.0018 | 2.6010 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00144 | -0.7384 | 0.0006 | 3.0060 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00145 | -0.7390 | -0.0007 | 21.9170 | LOCAL_MINIMA_BOTTLENECK_HAZARD | TRIGGER_DYNAMIC_VELOCITY_BURST_KICK | 422
STAT-00146 | -0.7395 | -0.0016 | 28.1600 | LOCAL_MINIMA_BOTTLENECK_HAZARD | TRIGGER_DYNAMIC_VELOCITY_BURST_KICK | 422
STAT-00147 | -0.7399 | -0.0018 | 47.3260 | LOCAL_MINIMA_BOTTLENECK_HAZARD | TRIGGER_DYNAMIC_VELOCITY_BURST_KICK | 422
STAT-00148 | -0.7402 | -0.0014 | 9.5940 | LOCAL_MINIMA_BOTTLENECK_HAZARD | TRIGGER_DYNAMIC_VELOCITY_BURST_KICK | 422
STAT-00149 | -0.7402 | -0.0005 | 44.3130 | LOCAL_MINIMA_BOTTLENECK_HAZARD | TRIGGER_DYNAMIC_VELOCITY_BURST_KICK | 422
STAT-00150 | -0.7400 | 0.0005 | 5.5760 | LOCAL_MINIMA_BOTTLENECK_HAZARD | TRIGGER_DYNAMIC_VELOCITY_BURST_KICK | 422
